census_year,area_code,area,household_type,annual_household_income_band,Total - weekly rent paid by household,Under $200,$200 - $299,$300 - $399,$400 - $499,$500 - $599,$600 - $699,$700 - $799,$800 and over,Total stated - weekly rent paid by household,Not elsewhere included
2023,15,Southland Region,Two-family household (with or without other people),"$100,001-$150,000",48,3,9,18,9,6,3,0,3,48,0
2023,15,Southland Region,Three or more family household (with or without other people),"$100,001-$150,000",0,0,0,0,0,0,0,0,0,0,0
2023,15,Southland Region,Other multi-person household,"$100,001-$150,000",240,63,42,66,54,9,3,0,3,240,0
2023,15,Southland Region,One-person household,"$100,001-$150,000",69,12,15,21,15,6,0,0,0,69,0
2023,15,Southland Region,Total stated - household composition,"$100,001-$150,000",1800,339,381,501,456,90,18,3,6,1791,9
2023,15,Southland Region,Household composition unidentifiable,"$100,001-$150,000",30,9,3,9,9,0,0,0,0,30,0
2023,15,Southland Region,Total - household composition,"$150,001-$200,000",570,102,111,153,141,45,12,0,3,567,6
2023,15,Southland Region,One-family household (with or without other people),"$150,001-$200,000",447,81,90,123,105,36,9,0,0,444,3
2023,15,Southland Region,Two-family household (with or without other people),"$150,001-$200,000",18,3,3,6,3,3,0,0,0,18,0
2023,15,Southland Region,Three or more family household (with or without other people),"$150,001-$200,000",0,0,0,0,0,0,0,0,0,0,0
2023,15,Southland Region,Other multi-person household,"$150,001-$200,000",81,12,12,18,21,6,3,0,3,81,0
2023,15,Southland Region,One-person household,"$150,001-$200,000",12,0,0,6,3,3,0,0,0,12,0
2023,15,Southland Region,Total stated - household composition,"$150,001-$200,000",558,99,108,150,135,45,12,0,3,555,3
2023,15,Southland Region,Household composition unidentifiable,"$150,001-$200,000",15,0,3,3,3,0,0,0,0,12,0
2023,15,Southland Region,Total - household composition,"$200,001 or more",312,54,48,63,78,36,15,6,3,306,3
2023,15,Southland Region,One-family household (with or without other people),"$200,001 or more",207,30,42,36,54,30,12,0,3,207,0
2023,15,Southland Region,Two-family household (with or without other people),"$200,001 or more",33,9,3,9,9,0,3,0,0,33,0
2023,15,Southland Region,Three or more family household (with or without other people),"$200,001 or more",3,3,0,3,0,0,0,0,0,3,0
2023,15,Southland Region,Other multi-person household,"$200,001 or more",48,12,3,12,12,3,3,3,0,48,3
2023,15,Southland Region,One-person household,"$200,001 or more",12,0,0,6,3,0,0,3,0,12,0
2023,15,Southland Region,Total stated - household composition,"$200,001 or more",303,54,48,60,75,36,15,6,3,297,6
2023,15,Southland Region,Household composition unidentifiable,"$200,001 or more",9,3,3,3,3,0,0,0,0,6,0
2023,15,Southland Region,Total - household composition,Total stated - total household income,9588,2271,2301,2694,1716,327,69,12,45,9426,159
2023,15,Southland Region,One-family household (with or without other people),Total stated - total household income,5418,933,1146,1704,1263,249,39,6,18,5361,54
2023,15,Southland Region,Two-family household (with or without other people),Total stated - total household income,156,21,24,45,45,12,6,0,3,156,0
2023,15,Southland Region,Three or more family household (with or without other people),Total stated - total household income,6,3,0,3,0,0,0,0,0,6,0
2023,15,Southland Region,Other multi-person household,Total stated - total household income,861,216,162,234,180,33,15,6,9,855,9
2023,15,Southland Region,One-person household,Total stated - total household income,3072,1077,951,687,210,30,3,3,18,2979,93
2023,15,Southland Region,Total stated - household composition,Total stated - total household income,9516,2250,2289,2673,1698,324,66,12,45,9357,159
2023,15,Southland Region,Household composition unidentifiable,Total stated - total household income,72,21,12,18,18,3,0,0,0,72,3
2023,15,Southland Region,Total - household composition,Not stated,645,174,159,153,111,18,6,0,3,627,21
2023,15,Southland Region,One-family household (with or without other people),Not stated,0,0,0,0,0,0,0,0,0,0,0
2023,15,Southland Region,Two-family household (with or without other people),Not stated,0,0,0,0,0,0,0,0,0,0,0
2023,15,Southland Region,Three or more family household (with or without other people),Not stated,0,0,0,0,0,0,0,0,0,0,0
2023,15,Southland Region,Other multi-person household,Not stated,0,0,0,0,0,0,0,0,0,0,0
2023,15,Southland Region,One-person household,Not stated,0,0,0,0,0,0,0,0,0,0,0
2023,15,Southland Region,Total stated - household composition,Not stated,0,0,0,0,0,0,0,0,0,0,0
2023,15,Southland Region,Household composition unidentifiable,Not stated,645,174,159,153,111,18,6,0,3,627,21
2023,99,Area Outside Region,Total - household composition,Total - total household income,69,39,12,3,6,3,3,0,0,66,3
2023,99,Area Outside Region,One-family household (with or without other people),Total - total household income,30,12,9,c..,6,c..,c..,c..,c..,33,c..
2023,99,Area Outside Region,Two-family household (with or without other people),Total - total household income,6,c..,c..,c..,c..,c..,c..,c..,c..,c..,c..
2023,99,Area Outside Region,Three or more family household (with or without other people),Total - total household income,0,c..,c..,c..,c..,c..,c..,c..,c..,c..,c..
2023,99,Area Outside Region,Other multi-person household,Total - total household income,6,c..,c..,c..,c..,c..,c..,c..,c..,c..,c..
2023,99,Area Outside Region,One-person household,Total - total household income,21,15,c..,c..,c..,c..,c..,c..,c..,21,c..
2023,99,Area Outside Region,Total stated - household composition,Total - total household income,60,36,12,c..,6,c..,c..,c..,c..,60,c..
2023,99,Area Outside Region,Household composition unidentifiable,Total - total household income,6,c..,c..,c..,c..,c..,c..,c..,c..,6,c..
2023,99,Area Outside Region,Total - household composition,"$20,000 or less",0,c..,c..,c..,c..,c..,c..,c..,c..,c..,c..
2023,99,Area Outside Region,One-family household (with or without other people),"$20,000 or less",c..,c..,c..,c..,c..,c..,c..,c..,c..,c..,c..
2023,99,Area Outside Region,Two-family household (with or without other people),"$20,000 or less",c..,c..,c..,c..,c..,c..,c..,c..,c..,c..,c..
2023,99,Area Outside Region,Three or more family household (with or without other people),"$20,000 or less",c..,c..,c..,c..,c..,c..,c..,c..,c..,c..,c..
2023,99,Area Outside Region,Other multi-person household,"$20,000 or less",c..,c..,c..,c..,c..,c..,c..,c..,c..,c..,c..
2023,99,Area Outside Region,One-person household,"$20,000 or less",c..,c..,c..,c..,c..,c..,c..,c..,c..,c..,c..
2023,99,Area Outside Region,Total stated - household composition,"$20,000 or less",c..,c..,c..,c..,c..,c..,c..,c..,c..,c..,c..
2023,99,Area Outside Region,Household composition unidentifiable,"$20,000 or less",c..,c..,c..,c..,c..,c..,c..,c..,c..,c..,c..
2023,99,Area Outside Region,Total - household composition,"$20,001-$30,000",9,c..,c..,c..,c..,c..,c..,c..,c..,9,c..
2023,99,Area Outside Region,One-family household (with or without other people),"$20,001-$30,000",c..,c..,c..,c..,c..,c..,c..,c..,c..,c..,c..
2023,99,Area Outside Region,Two-family household (with or without other people),"$20,001-$30,000",c..,c..,c..,c..,c..,c..,c..,c..,c..,c..,c..
2023,99,Area Outside Region,Three or more family household (with or without other people),"$20,001-$30,000",c..,c..,c..,c..,c..,c..,c..,c..,c..,c..,c..
2023,99,Area Outside Region,Other multi-person household,"$20,001-$30,000",c..,c..,c..,c..,c..,c..,c..,c..,c..,c..,c..
2023,99,Area Outside Region,One-person household,"$20,001-$30,000",c..,c..,c..,c..,c..,c..,c..,c..,c..,c..,c..
2023,99,Area Outside Region,Total stated - household composition,"$20,001-$30,000",9,c..,c..,c..,c..,c..,c..,c..,c..,9,c..
2023,99,Area Outside Region,Household composition unidentifiable,"$20,001-$30,000",c..,c..,c..,c..,c..,c..,c..,c..,c..,c..,c..
2023,99,Area Outside Region,Total - household composition,"$30,001-$50,000",6,c..,c..,c..,c..,c..,c..,c..,c..,6,c..
2023,99,Area Outside Region,One-family household (with or without other people),"$30,001-$50,000",c..,c..,c..,c..,c..,c..,c..,c..,c..,c..,c..
2023,99,Area Outside Region,Two-family household (with or without other people),"$30,001-$50,000",c..,c..,c..,c..,c..,c..,c..,c..,c..,c..,c..
2023,99,Area Outside Region,Three or more family household (with or without other people),"$30,001-$50,000",c..,c..,c..,c..,c..,c..,c..,c..,c..,c..,c..
2023,99,Area Outside Region,Other multi-person household,"$30,001-$50,000",c..,c..,c..,c..,c..,c..,c..,c..,c..,c..,c..
2023,99,Area Outside Region,One-person household,"$30,001-$50,000",c..,c..,c..,c..,c..,c..,c..,c..,c..,c..,c..
2023,99,Area Outside Region,Total stated - household composition,"$30,001-$50,000",6,c..,c..,c..,c..,c..,c..,c..,c..,6,c..
2023,99,Area Outside Region,Household composition unidentifiable,"$30,001-$50,000",c..,c..,c..,c..,c..,c..,c..,c..,c..,c..,c..
2023,99,Area Outside Region,Total - household composition,"$50,001-$70,000",9,c..,c..,c..,c..,c..,c..,c..,c..,9,c..
2023,99,Area Outside Region,One-family household (with or without other people),"$50,001-$70,000",c..,c..,c..,c..,c..,c..,c..,c..,c..,c..,c..
2023,99,Area Outside Region,Two-family household (with or without other people),"$50,001-$70,000",c..,c..,c..,c..,c..,c..,c..,c..,c..,c..,c..
2023,99,Area Outside Region,Three or more family household (with or without other people),"$50,001-$70,000",c..,c..,c..,c..,c..,c..,c..,c..,c..,c..,c..
2023,99,Area Outside Region,Other multi-person household,"$50,001-$70,000",c..,c..,c..,c..,c..,c..,c..,c..,c..,c..,c..
2023,99,Area Outside Region,One-person household,"$50,001-$70,000",c..,c..,c..,c..,c..,c..,c..,c..,c..,c..,c..
2023,99,Area Outside Region,Total stated - household composition,"$50,001-$70,000",9,c..,c..,c..,c..,c..,c..,c..,c..,9,c..
2023,99,Area Outside Region,Household composition unidentifiable,"$50,001-$70,000",c..,c..,c..,c..,c..,c..,c..,c..,c..,c..,c..
2023,99,Area Outside Region,Total - household composition,"$70,001-$100,000",9,c..,c..,c..,c..,c..,c..,c..,c..,9,c..
2023,99,Area Outside Region,One-family household (with or without other people),"$70,001-$100,000",9,c..,c..,c..,c..,c..,c..,c..,c..,9,c..
2023,99,Area Outside Region,Two-family household (with or without other people),"$70,001-$100,000",c..,c..,c..,c..,c..,c..,c..,c..,c..,c..,c..
2023,99,Area Outside Region,Three or more family household (with or without other people),"$70,001-$100,000",c..,c..,c..,c..,c..,c..,c..,c..,c..,c..,c..
2023,99,Area Outside Region,Other multi-person household,"$70,001-$100,000",c..,c..,c..,c..,c..,c..,c..,c..,c..,c..,c..
2023,99,Area Outside Region,One-person household,"$70,001-$100,000",c..,c..,c..,c..,c..,c..,c..,c..,c..,c..,c..
2023,99,Area Outside Region,Total stated - household composition,"$70,001-$100,000",9,c..,c..,c..,c..,c..,c..,c..,c..,9,c..
2023,99,Area Outside Region,Household composition unidentifiable,"$70,001-$100,000",c..,c..,c..,c..,c..,c..,c..,c..,c..,c..,c..
2023,99,Area Outside Region,Total - household composition,"$100,001-$150,000",12,6,c..,c..,c..,c..,c..,c..,c..,12,c..
2023,99,Area Outside Region,One-family household (with or without other people),"$100,001-$150,000",6,c..,c..,c..,c..,c..,c..,c..,c..,6,c..
2023,99,Area Outside Region,Two-family household (with or without other people),"$100,001-$150,000",c..,c..,c..,c..,c..,c..,c..,c..,c..,c..,c..
2023,99,Area Outside Region,Three or more family household (with or without other people),"$100,001-$150,000",c..,c..,c..,c..,c..,c..,c..,c..,c..,c..,c..
2023,99,Area Outside Region,Other multi-person household,"$100,001-$150,000",c..,c..,c..,c..,c..,c..,c..,c..,c..,c..,c..
2023,99,Area Outside Region,One-person household,"$100,001-$150,000",c..,c..,c..,c..,c..,c..,c..,c..,c..,c..,c..
2023,99,Area Outside Region,Total stated - household composition,"$100,001-$150,000",12,6,c..,c..,c..,c..,c..,c..,c..,12,c..
2023,99,Area Outside Region,Household composition unidentifiable,"$100,001-$150,000",c..,c..,c..,c..,c..,c..,c..,c..,c..,c..,c..
2023,99,Area Outside Region,Total - household composition,"$150,001-$200,000",9,c..,c..,c..,c..,c..,c..,c..,c..,9,c..
2023,99,Area Outside Region,One-family household (with or without other people),"$150,001-$200,000",c..,c..,c..,c..,c..,c..,c..,c..,c..,c..,c..
2023,99,Area Outside Region,Two-family household (with or without other people),"$150,001-$200,000",c..,c..,c..,c..,c..,c..,c..,c..,c..,c..,c..
2023,99,Area Outside Region,Three or more family household (with or without other people),"$150,001-$200,000",c..,c..,c..,c..,c..,c..,c..,c..,c..,c..,c..
2023,99,Area Outside Region,Other multi-person household,"$150,001-$200,000",c..,c..,c..,c..,c..,c..,c..,c..,c..,c..,c..
2023,99,Area Outside Region,One-person household,"$150,001-$200,000",c..,c..,c..,c..,c..,c..,c..,c..,c..,c..,c..
2023,99,Area Outside Region,Total stated - household composition,"$150,001-$200,000",9,c..,c..,c..,c..,c..,c..,c..,c..,9,c..
2023,99,Area Outside Region,Household composition unidentifiable,"$150,001-$200,000",c..,c..,c..,c..,c..,c..,c..,c..,c..,c..,c..
2023,99,Area Outside Region,Total - household composition,"$200,001 or more",6,6,c..,c..,c..,c..,c..,c..,c..,6,c..
